date,aod,pm25,Temp_Max,Temp_Min,Humidity,Precipitation,Wind_Speed,SLP,U10M,V10M,TQV,TS
5/8/2023,0.84200004,6.833333333333333,36.1,21.7,44,0,20.1,1003.0681283333333,2.1406107380833332,-0.302543291,10.105201201249999,303.4126587916667
5/9/2023,0.63800003,103,37.2,21.1,35,0,22.7,1005.7964929166666,1.7600649005833333,-3.612863968,11.808129066666666,303.1816153
5/10/2023,0.573000027,102.54166666666667,36.8,21.8,22,0,23.5,1005.1077491666666,2.4295081947583332,-3.141789755,9.005786104,302.6648878
5/12/2023,0.402000019,72.375,41.7,23.5,24,0,16.7,1003.626835,-0.913827452,0.41057519170833334,16.59187086,304.4071489583333
5/13/2023,0.380000018,86.625,41.5,24.8,26,0,23.4,1002.5827262500001,-1.583651236,0.1718513189583333,21.22379176,307.8080903
5/14/2023,0.249000012,68.45833333333333,40,26.2,29,0,29.9,1000.0313688333334,1.820783821,-1.181423649,24.96754081,308.28895179166665
5/16/2023,0.380000018,156.08333333333334,38.9,26.4,28,0,24.2,1002.528964,4.834372739166667,-0.896577683,23.673882074999998,307.60063166666663
5/17/2023,0.274000013,61.583333333333336,41,25.4,26,0,20.6,1003.9707558333333,3.423131386,-1.237632855,32.01754800416666,309.8570212916667
5/18/2023,0.20900001,38.458333333333336,38,24.1,40,0,21.6,1007.6790233333332,2.3700643249166666,-3.183187217,26.50391969,305.9853565416667
5/19/2023,0.310000015,58.833333333333336,38.2,25.5,36,0,22.7,1004.5865629166666,4.1019812729166665,-2.637559583,20.584389445833335,306.2860298
5/20/2023,0.269000013,63.833333333333336,40.3,24.2,30,0,26.2,1002.5459970833334,3.559145828,-1.810289926,20.43491426,307.88620383333335
5/22/2023,0.503000024,62.458333333333336,42.6,29.3,20,0,30.2,1002.8015395833332,5.933348763333334,-1.897439679,32.106005429166665,311.2335205416667
5/23/2023,0.405000019,46.458333333333336,43.5,30,29,2.4,29.4,1002.6346233333334,4.475015729166667,-1.658601602,38.16597796,312.3410633
5/24/2023,0.41600002,24.375,38.1,26.3,51,0,16.9,1003.4286908333333,1.9780877712083333,1.5407032324166667,42.07922395,311.53751116666666
5/25/2023,0.147000007,20.125,33.3,23.9,65,0.7,20.2,1003.3287637499999,0.3078964990333333,-0.895123795,36.15267499583333,309.55719754166665
5/26/2023,0.401000019,-58.41666667,33.8,22.7,60,0,10.3,1004.9721216666667,-0.137833585,2.741377866,36.20655854583333,303.1227721
